
%NQSII(INFO): ------- Output from job:0000 -------
       2.581s 0002 Spinup Function norm 1.286500993446e+01
       2.567s 0000 Spinup Function norm 4.328962677595e+01
       2.562s 0001 Spinup Function norm 2.228472721859e+01
       2.559s 0002 Spinup Function norm 1.286500993446e+01
       2.514s 0000 Spinup Function norm 4.328962677595e+01
       2.497s 0001 Spinup Function norm 2.228472721859e+01
       2.508s 0002 Spinup Function norm 1.286500993446e+01
       2.455s 0000 Spinup Function norm 4.328962677595e+01
       2.455s 0001 Spinup Function norm 2.228472721859e+01
       2.455s 0002 Spinup Function norm 1.286500993446e+01
       2.401s 0000 Spinup Function norm 4.328962677595e+01
       2.457s 0001 Spinup Function norm 2.228472721859e+01
       2.396s 0002 Spinup Function norm 1.286500993446e+01
       2.372s 0000 Spinup Function norm 4.328962677595e+01
       2.353s 0001 Spinup Function norm 2.228472721859e+01
       2.394s 0002 Spinup Function norm 1.286500993446e+01
       2.314s 0000 Spinup Function norm 4.328962677595e+01
       2.310s 0001 Spinup Function norm 2.228472721859e+01
       2.311s 0002 Spinup Function norm 1.286500993446e+01
       2.288s 0000 Spinup Function norm 4.328962677595e+01
       2.284s 0001 Spinup Function norm 2.228472721859e+01
       2.283s 0002 Spinup Function norm 1.286500993446e+01
       2.221s 0000 Spinup Function norm 4.328962677595e+01
       2.223s 0001 Spinup Function norm 2.228472721859e+01
       2.216s 0002 Spinup Function norm 1.286500993446e+01
       2.173s 0000 Spinup Function norm 4.328962677595e+01
       2.175s 0001 Spinup Function norm 2.228472721859e+01
       2.171s 0002 Spinup Function norm 1.286500993446e+01
       2.174s 0000 Spinup Function norm 4.328962677595e+01
       2.151s 0001 Spinup Function norm 2.228472721859e+01
       2.159s 0002 Spinup Function norm 1.286500993446e+01
       2.118s 0000 Spinup Function norm 4.328962677595e+01
       2.122s 0001 Spinup Function norm 2.228472721859e+01
       2.120s 0002 Spinup Function norm 1.286500993446e+01
       2.111s 0000 Spinup Function norm 4.328962677595e+01
       2.088s 0001 Spinup Function norm 2.228472721859e+01
       2.096s 0002 Spinup Function norm 1.286500993446e+01
       2.048s 0000 Spinup Function norm 4.328962677595e+01
       2.055s 0001 Spinup Function norm 2.228472721859e+01
       2.052s 0002 Spinup Function norm 1.286500993446e+01
       2.029s 0000 Spinup Function norm 4.328962677595e+01
       2.024s 0001 Spinup Function norm 2.228472721859e+01
       2.021s 0002 Spinup Function norm 1.286500993446e+01
       2.010s 0000 Spinup Function norm 4.328962677595e+01
       1.998s 0001 Spinup Function norm 2.228472721859e+01
       2.008s 0002 Spinup Function norm 1.286500993446e+01
       1.970s 0000 Spinup Function norm 4.328962677595e+01
       1.980s 0001 Spinup Function norm 2.228472721859e+01
       1.961s 0002 Spinup Function norm 1.286500993446e+01
       1.956s 0000 Spinup Function norm 4.328962677595e+01
       1.945s 0001 Spinup Function norm 2.228472721859e+01
       1.954s 0002 Spinup Function norm 1.286500993446e+01
       1.919s 0000 Spinup Function norm 4.328962677595e+01
       1.921s 0001 Spinup Function norm 2.228472721859e+01
       1.962s 0002 Spinup Function norm 1.286500993446e+01
       1.900s 0000 Spinup Function norm 4.328962677595e+01
       1.896s 0001 Spinup Function norm 2.228472721859e+01
       1.890s 0002 Spinup Function norm 1.286500993446e+01
       1.886s 0000 Spinup Function norm 4.328962677595e+01
       1.876s 0001 Spinup Function norm 2.228472721859e+01
       1.885s 0002 Spinup Function norm 1.286500993446e+01
       1.854s 0000 Spinup Function norm 4.328962677595e+01
       1.861s 0001 Spinup Function norm 2.228472721859e+01
       1.847s 0002 Spinup Function norm 1.286500993446e+01
       1.823s 0000 Spinup Function norm 4.328962677595e+01
       1.810s 0001 Spinup Function norm 2.228472721859e+01
       1.810s 0002 Spinup Function norm 1.286500993446e+01
       1.775s 0000 Spinup Function norm 4.328962677595e+01
       1.768s 0001 Spinup Function norm 2.228472721859e+01
       1.773s 0002 Spinup Function norm 1.286500993446e+01
       1.792s 0000 Spinup Function norm 4.328962677595e+01
       1.792s 0001 Spinup Function norm 2.228472721859e+01
       1.797s 0002 Spinup Function norm 1.286500993446e+01
       1.808s 0000 Spinup Function norm 4.328962677595e+01
       1.785s 0001 Spinup Function norm 2.228472721859e+01
       1.773s 0002 Spinup Function norm 1.286500993446e+01
       1.761s 0000 Spinup Function norm 4.328962677595e+01
